;STATION;NAME;DATE;PRCP;SNOW;TAVG;TMAX;TMIN
66015;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-01;0.04;0.0;18.0;31.0;10.0
66016;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-02;0.0;0.0;30.0;34.0;25.0
66017;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-03;0.01;0.2;26.0;30.0;12.0
66018;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-04;0.0;0.0;15.0;24.0;5.0
66019;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-05;0.0;0.0;28.0;37.0;17.0
66020;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-06;0.0;0.0;19.0;30.0;9.0
66021;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-07;0.0;0.0;16.0;24.0;-10.0
66022;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-08;0.0;0.0;-5.0;12.0;-18.0
66023;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-09;0.0;0.0;15.0;20.0;7.0
66024;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-10;0.0;0.0;5.0;8.0;-18.0
66025;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-11;0.0;0.0;-12.0;-2.0;-24.0
66026;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-12;0.0;0.0;6.0;19.0;-2.0
66027;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-13;0.0;0.0;20.0;24.0;19.0
66028;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-14;0.0;0.0;13.0;24.0;-5.0
66029;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-15;0.16;2.6;-3.0;-1.0;-18.0
66030;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-16;0.0;0.0;-16.0;0.0;-24.0
66031;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-17;0.18;2.2;8.0;24.0;-1.0
66032;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-18;0.14;1.9;10.0;19.0;-3.0
66033;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-19;0.0;0.0;-2.0;4.0;-10.0
66034;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-20;0.0;0.0;-6.0;2.0;-21.0
66035;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-21;0.0;0.0;6.0;25.0;-4.0
66036;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-22;0.0;0.0;20.0;26.0;11.0
66037;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-23;0.0;0.0;23.0;27.0;22.0
66038;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-24;0.0;0.0;26.0;27.0;24.0
66039;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-25;0.0;0.0;24.0;25.0;22.0
66040;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-26;0.0;0.0;24.0;27.0;20.0
66041;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-27;0.01;0.2;16.0;20.0;11.0
66042;USW00014914;FARGO HECTOR INTERNATIONAL AIRPORT, ND US;2020-01-28;0.0;0.0;11.0;12.0;9.0
